[2022-12-24 01:10:07,024:INFO:mainLog:Thread-7 (ulusoyScraper)] Category being processed: Bijouterie
[2022-12-24 01:10:07,177:INFO:mainLog:Thread-8 (ulusoyScraper)] Category being processed: Bijouterie
[2022-12-24 01:10:07,292:INFO:mainLog:Thread-7 (ulusoyScraper)] Retrieving products list size please wait!
[2022-12-24 01:10:07,404:INFO:mainLog:Thread-8 (ulusoyScraper)] Retrieving products list size please wait!
[2022-12-24 01:16:54,085:INFO:mainLog:MainThread] New ULUSOYSPOR session has been started
[2022-12-24 01:16:54,105:INFO:mainLog:MainThread] Tasks executed in {elapsed:0.2f} seconds.
[2022-12-24 01:16:55,442:INFO:mainLog:Thread-8 (ulusoyScraper)] New page request has been made | Response: 200
[2022-12-24 01:16:55,730:INFO:mainLog:Thread-8 (ulusoyScraper)] Categories found count: 8
[2022-12-24 01:16:56,629:INFO:mainLog:Thread-8 (ulusoyScraper)] Category being processed: Bijouterie
[2022-12-24 01:16:56,878:INFO:mainLog:Thread-8 (ulusoyScraper)] Retrieving products list size please wait!
[2022-12-24 01:18:02,904:INFO:mainLog:MainThread] New ULUSOYSPOR session has been started
[2022-12-24 01:18:02,924:INFO:mainLog:MainThread] Tasks executed in {elapsed:0.2f} seconds.
[2022-12-24 01:18:03,849:INFO:mainLog:Thread-8 (ulusoyScraper)] New page request has been made | Response: 200
[2022-12-24 01:18:04,087:INFO:mainLog:Thread-8 (ulusoyScraper)] Categories found count: 8
[2022-12-24 01:18:04,994:INFO:mainLog:Thread-8 (ulusoyScraper)] Category being processed: Bijouterie
[2022-12-24 01:18:05,205:INFO:mainLog:Thread-8 (ulusoyScraper)] Retrieving products list size please wait!
[2022-12-24 01:18:47,431:INFO:mainLog:MainThread] New ULUSOYSPOR session has been started
[2022-12-24 01:18:47,450:INFO:mainLog:MainThread] Tasks executed in {elapsed:0.2f} seconds.
[2022-12-24 01:18:48,256:INFO:mainLog:Thread-8 (ulusoyScraper)] New page request has been made | Response: 200
